,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Predicted Survived
0,892,3,0,34.5,0,0,78292,3,0
1,893,3,1,47.0,1,0,7,1,1
2,894,2,0,62.0,0,0,96875,3,0
3,895,3,0,27.0,0,0,86625,1,0
4,896,3,1,22.0,1,1,122875,1,1
5,897,3,0,14.0,0,0,9225,1,0
6,898,3,1,30.0,0,0,76292,3,0
7,899,2,0,26.0,1,1,29,1,1
8,900,3,1,18.0,0,0,72292,2,1
9,901,3,0,21.0,2,0,2415,1,0
10,902,3,0,30.272590361445783,0,0,78958,1,0
11,903,1,0,46.0,0,0,26,1,0
12,904,1,1,23.0,1,0,822667,1,1
13,905,2,0,63.0,1,0,26,1,0
14,906,1,1,47.0,1,0,61175,1,1
15,907,2,1,24.0,1,0,277208,2,1
16,908,2,0,35.0,0,0,1235,3,0
17,909,3,0,21.0,0,0,7225,2,0
18,910,3,1,27.0,1,0,7925,1,0
19,911,3,1,45.0,0,0,7225,2,1
20,912,1,0,55.0,1,0,594,2,0
21,913,3,0,9.0,0,1,31708,1,0
22,914,1,1,30.272590361445783,0,0,316833,1,1
23,915,1,0,21.0,0,1,613792,2,0
24,916,1,1,48.0,1,3,262375,2,1
25,917,3,0,50.0,1,0,145,1,0
26,918,1,1,22.0,0,1,619792,2,1
27,919,3,0,22.5,0,0,7225,2,0
28,920,1,0,41.0,0,0,305,1,1
29,921,3,0,30.272590361445783,2,0,216792,2,0
30,922,2,0,50.0,1,0,26,1,0
31,923,2,0,24.0,2,0,315,1,1
32,924,3,1,33.0,1,2,20575,1,1
33,925,3,1,30.272590361445783,1,2,2345,1,0
34,926,1,0,30.0,1,0,5775,2,0
35,927,3,0,18.5,0,0,72292,2,0
36,928,3,1,30.272590361445783,0,0,805,1,0
37,929,3,1,21.0,0,0,86625,1,0
38,930,3,0,25.0,0,0,95,1,0
39,931,3,0,30.272590361445783,0,0,564958,1,1
40,932,3,0,39.0,0,1,134167,2,1
41,933,1,0,30.272590361445783,0,0,2655,1,0
42,934,3,0,41.0,0,0,785,1,0
43,935,2,1,30.0,0,0,13,1,1
44,936,1,1,45.0,1,0,525542,1,1
45,937,3,0,25.0,0,0,7925,1,0
46,938,1,0,45.0,0,0,297,2,1
47,939,3,0,30.272590361445783,0,0,775,3,0
48,940,1,1,60.0,0,0,762917,2,1
49,941,3,1,36.0,0,2,159,1,1
50,942,1,0,24.0,1,0,60,1,0
51,943,2,0,27.0,0,0,150333,2,0
52,944,2,1,20.0,2,1,23,1,1
53,945,1,1,28.0,3,2,263,1,1
54,946,2,0,30.272590361445783,0,0,155792,2,0
55,947,3,0,10.0,4,1,29125,3,0
56,948,3,0,35.0,0,0,78958,1,0
57,949,3,0,25.0,0,0,765,1,0
58,950,3,0,30.272590361445783,1,0,161,1,0
59,951,1,1,36.0,0,0,262375,2,1
60,952,3,0,17.0,0,0,78958,1,0
61,953,2,0,32.0,0,0,135,1,0
62,954,3,0,18.0,0,0,775,1,0
63,955,3,1,22.0,0,0,7725,3,1
64,956,1,0,13.0,2,2,262375,2,1
65,957,2,1,30.272590361445783,0,0,21,1,1
66,958,3,1,18.0,0,0,78792,3,1
67,959,1,0,47.0,0,0,424,1,0
68,960,1,0,31.0,0,0,285375,2,0
69,961,1,1,60.0,1,4,263,1,1
70,962,3,1,24.0,0,0,775,3,1
71,963,3,0,21.0,0,0,78958,1,0
72,964,3,1,29.0,0,0,7925,1,0
73,965,1,0,28.5,0,0,277208,2,0
74,966,1,1,35.0,0,0,2115,2,1
75,967,1,0,32.5,0,0,2115,2,0
76,968,3,0,30.272590361445783,0,0,805,1,0
77,969,1,1,55.0,2,0,257,1,0
78,970,2,0,30.0,0,0,13,1,0
79,971,3,1,24.0,0,0,775,3,1
80,972,3,0,6.0,1,1,152458,2,1
81,973,1,0,67.0,1,0,2217792,1,0
82,974,1,0,49.0,0,0,26,1,0
83,975,3,0,30.272590361445783,0,0,78958,1,0
84,976,2,0,30.272590361445783,0,0,107083,3,0
85,977,3,0,30.272590361445783,1,0,144542,2,0
86,978,3,1,27.0,0,0,78792,3,1
87,979,3,1,18.0,0,0,805,1,0
88,980,3,1,30.272590361445783,0,0,775,3,1
89,981,2,0,2.0,1,1,23,1,1
90,982,3,1,22.0,1,0,139,1,1
91,983,3,0,30.272590361445783,0,0,7775,1,0
92,984,1,1,27.0,1,2,52,1,1
93,985,3,0,30.272590361445783,0,0,805,1,0
94,986,1,0,25.0,0,0,26,2,1
95,987,3,0,25.0,0,0,77958,1,0
96,988,1,1,76.0,1,0,7885,1,1
97,989,3,0,29.0,0,0,7925,1,0
98,990,3,1,20.0,0,0,78542,1,1
99,991,3,0,33.0,0,0,805,1,0
100,992,1,1,43.0,1,0,554417,2,1
101,993,2,0,27.0,1,0,26,1,0
102,994,3,0,30.272590361445783,0,0,775,3,0
103,995,3,0,26.0,0,0,7775,1,0
104,996,3,1,16.0,1,1,85167,2,1
105,997,3,0,28.0,0,0,22525,1,0
106,998,3,0,21.0,0,0,78208,3,0
107,999,3,0,30.272590361445783,0,0,775,3,0
108,1000,3,0,30.272590361445783,0,0,87125,1,0
109,1001,2,0,18.5,0,0,13,1,0
110,1002,2,0,41.0,0,0,150458,2,0
111,1003,3,1,30.272590361445783,0,0,77792,3,1
112,1004,1,1,36.0,0,0,316792,2,1
113,1005,3,1,18.5,0,0,72833,3,0
114,1006,1,1,63.0,1,0,2217792,1,1
115,1007,3,0,18.0,1,0,144542,2,0
116,1008,3,0,30.272590361445783,0,0,64375,2,0
117,1009,3,1,1.0,1,1,167,1,1
118,1010,1,0,36.0,0,0,752417,2,1
119,1011,2,1,29.0,1,0,26,1,1
120,1012,2,1,12.0,0,0,1575,1,1
121,1013,3,0,30.272590361445783,1,0,775,3,0
122,1014,1,1,35.0,1,0,5775,2,1
123,1015,3,0,28.0,0,0,725,1,0
124,1016,3,0,30.272590361445783,0,0,775,3,0
125,1017,3,1,17.0,0,1,161,1,1
126,1018,3,0,22.0,0,0,77958,1,0
127,1019,3,1,30.272590361445783,2,0,2325,3,1
128,1020,2,0,42.0,0,0,13,1,0
129,1021,3,0,24.0,0,0,805,1,0
130,1022,3,0,32.0,0,0,805,1,0
131,1023,1,0,53.0,0,0,285,2,1
132,1024,3,1,30.272590361445783,0,4,254667,1,0
133,1025,3,0,30.272590361445783,1,0,64375,2,0
134,1026,3,0,43.0,0,0,78958,1,0
135,1027,3,0,24.0,0,0,78542,1,0
136,1028,3,0,26.5,0,0,7225,2,0
137,1029,2,0,26.0,0,0,13,1,0
138,1030,3,1,23.0,0,0,805,1,0
139,1031,3,0,40.0,1,6,469,1,0
140,1032,3,1,10.0,5,2,469,1,0
141,1033,1,1,33.0,0,0,15155,1,1
142,1034,1,0,61.0,1,3,262375,2,1
143,1035,2,0,28.0,0,0,26,1,0
144,1036,1,0,42.0,0,0,2655,1,0
145,1037,3,0,31.0,3,0,18,1,0
146,1038,1,0,30.272590361445783,0,0,518625,1,1
147,1039,3,0,22.0,0,0,805,1,0
148,1040,1,0,30.272590361445783,0,0,2655,1,0
149,1041,2,0,30.0,1,1,26,1,1
150,1042,1,1,23.0,0,1,831583,2,1
151,1043,3,0,30.272590361445783,0,0,78958,2,0
152,1044,3,0,60.5,0,0,775,1,0
153,1045,3,1,36.0,0,2,121833,1,0
154,1046,3,0,13.0,4,2,313875,1,0
155,1047,3,0,24.0,0,0,755,1,0
156,1048,1,1,29.0,0,0,2217792,1,1
157,1049,3,1,23.0,0,0,78542,1,1
158,1050,1,0,42.0,0,0,2655,1,0
159,1051,3,1,26.0,0,2,13775,1,0
160,1052,3,1,30.272590361445783,0,0,77333,3,1
161,1053,3,0,7.0,1,1,152458,2,1
162,1054,2,1,26.0,0,0,135,1,1
163,1055,3,0,30.272590361445783,0,0,7,1,0
164,1056,2,0,41.0,0,0,13,1,0
165,1057,3,1,26.0,1,1,22025,1,0
166,1058,1,0,48.0,0,0,504958,2,0
167,1059,3,0,18.0,2,2,34375,1,0
168,1060,1,1,30.272590361445783,0,0,277208,2,1
169,1061,3,1,22.0,0,0,89625,1,1
170,1062,3,0,30.272590361445783,0,0,755,1,0
171,1063,3,0,27.0,0,0,7225,2,0
172,1064,3,0,23.0,1,0,139,1,0
173,1065,3,0,30.272590361445783,0,0,72292,2,0
174,1066,3,0,40.0,1,5,313875,1,0
175,1067,2,1,15.0,0,2,39,1,1
176,1068,2,1,20.0,0,0,3675,1,1
177,1069,1,0,54.0,1,0,554417,2,1
178,1070,2,1,36.0,0,3,39,1,1
179,1071,1,1,64.0,0,2,831583,2,1
180,1072,2,0,30.0,0,0,13,1,0
181,1073,1,0,37.0,1,1,831583,2,0
182,1074,1,1,18.0,1,0,531,1,1
183,1075,3,0,30.272590361445783,0,0,775,3,0
184,1076,1,1,27.0,1,1,2475208,2,1
185,1077,2,0,40.0,0,0,16,1,0
186,1078,2,1,21.0,0,1,21,1,1
187,1079,3,0,17.0,2,0,805,1,0
188,1080,3,1,30.272590361445783,8,2,6955,1,0
189,1081,2,0,40.0,0,0,13,1,0
190,1082,2,0,34.0,1,0,26,1,0
191,1083,1,0,30.272590361445783,0,0,26,1,0
192,1084,3,0,11.5,1,1,145,1,1
193,1085,2,0,61.0,0,0,1235,3,0
194,1086,2,0,8.0,0,2,325,1,0
195,1087,3,0,33.0,0,0,78542,1,0
196,1088,1,0,6.0,0,2,1345,2,0
197,1089,3,1,18.0,0,0,7775,1,0
198,1090,2,0,23.0,0,0,105,1,0
199,1091,3,1,30.272590361445783,0,0,81125,1,0
200,1092,3,1,30.272590361445783,0,0,155,3,1
201,1093,3,0,0.33,0,2,144,1,0
202,1094,1,0,47.0,1,0,227525,2,0
203,1095,2,1,8.0,1,1,26,1,1
204,1096,2,0,25.0,0,0,105,1,0
205,1097,1,0,30.272590361445783,0,0,257417,2,0
206,1098,3,1,35.0,0,0,775,3,1
207,1099,2,0,24.0,0,0,105,1,0
208,1100,1,1,33.0,0,0,277208,2,1
209,1101,3,0,25.0,0,0,78958,1,0
210,1102,3,0,32.0,0,0,22525,1,0
211,1103,3,0,30.272590361445783,0,0,705,1,0
212,1104,2,0,17.0,0,0,735,1,0
213,1105,2,1,60.0,1,0,26,1,1
214,1106,3,1,38.0,4,2,7775,1,1
215,1107,1,0,42.0,0,0,425,1,0
216,1108,3,1,30.272590361445783,0,0,78792,3,1
217,1109,1,0,57.0,1,1,1648667,1,0
218,1110,1,1,50.0,1,1,2115,2,1
219,1111,3,0,30.272590361445783,0,0,805,1,0
220,1112,2,1,30.0,1,0,138583,2,1
221,1113,3,0,21.0,0,0,805,1,0
222,1114,2,1,22.0,0,0,105,1,1
223,1115,3,0,21.0,0,0,77958,1,0
224,1116,1,1,53.0,0,0,274458,2,1
225,1117,3,1,30.272590361445783,0,2,152458,2,1
226,1118,3,0,23.0,0,0,77958,1,0
227,1119,3,1,30.272590361445783,0,0,775,3,1
228,1120,3,0,40.5,0,0,151,1,0
229,1121,2,0,36.0,0,0,13,1,0
230,1122,2,0,14.0,0,0,65,1,0
231,1123,1,1,21.0,0,0,2655,1,1
232,1124,3,0,21.0,1,0,64958,1,0
233,1125,3,0,30.272590361445783,0,0,78792,3,0
234,1126,1,0,39.0,1,0,712833,2,1
235,1127,3,0,20.0,0,0,78542,1,0
236,1128,1,0,64.0,1,0,7525,2,0
237,1129,3,0,20.0,0,0,7225,2,0
238,1130,2,1,18.0,1,1,13,1,1
239,1131,1,1,48.0,1,0,106425,2,1
240,1132,1,1,55.0,0,0,277208,2,1
241,1133,2,1,45.0,0,2,30,1,1
242,1134,1,0,45.0,1,1,1345,2,0
243,1135,3,0,30.272590361445783,0,0,78875,1,0
244,1136,3,0,30.272590361445783,1,2,2345,1,0
245,1137,1,0,41.0,1,0,518625,1,1
246,1138,2,1,22.0,0,0,21,1,1
247,1139,2,0,42.0,1,1,325,1,0
248,1140,2,1,29.0,1,0,26,1,1
249,1141,3,1,30.272590361445783,1,0,144542,2,0
250,1142,2,1,0.92,1,2,2775,1,1
251,1143,3,0,20.0,0,0,7925,1,0
252,1144,1,0,27.0,1,0,1367792,2,0
253,1145,3,0,24.0,0,0,9325,1,0
254,1146,3,0,32.5,0,0,95,1,0
255,1147,3,0,30.272590361445783,0,0,755,1,0
256,1148,3,0,30.272590361445783,0,0,775,3,0
257,1149,3,0,28.0,0,0,805,1,0
258,1150,2,1,19.0,0,0,13,1,1
259,1151,3,0,21.0,0,0,7775,1,0
260,1152,3,0,36.5,1,0,174,1,0
261,1153,3,0,21.0,0,0,78542,1,0
262,1154,2,1,29.0,0,2,23,1,1
263,1155,3,1,1.0,1,1,121833,1,1
264,1156,2,0,30.0,0,0,127375,2,1
265,1157,3,0,30.272590361445783,0,0,78958,1,0
266,1158,1,0,30.272590361445783,0,0,0,1,0
267,1159,3,0,30.272590361445783,0,0,755,1,0
268,1160,3,1,30.272590361445783,0,0,805,1,0
269,1161,3,0,17.0,0,0,86625,1,0
270,1162,1,0,46.0,0,0,752417,2,1
271,1163,3,0,30.272590361445783,0,0,775,3,0
272,1164,1,1,26.0,1,0,1367792,2,1
273,1165,3,1,30.272590361445783,1,0,155,3,1
274,1166,3,0,30.272590361445783,0,0,7225,2,0
275,1167,2,1,20.0,1,0,26,1,1
276,1168,2,0,28.0,0,0,105,1,0
277,1169,2,0,40.0,1,0,26,1,0
278,1170,2,0,30.0,1,0,21,1,0
279,1171,2,0,22.0,0,0,105,1,0
280,1172,3,1,23.0,0,0,86625,1,0
281,1173,3,0,0.75,1,1,13775,1,1
282,1174,3,1,30.272590361445783,0,0,775,3,1
283,1175,3,1,9.0,1,1,152458,2,1
284,1176,3,1,2.0,1,1,202125,1,0
285,1177,3,0,36.0,0,0,725,1,0
286,1178,3,0,30.272590361445783,0,0,725,1,0
287,1179,1,0,24.0,1,0,822667,1,1
288,1180,3,0,30.272590361445783,0,0,72292,2,0
289,1181,3,0,30.272590361445783,0,0,805,1,0
290,1182,1,0,30.272590361445783,0,0,396,1,0
291,1183,3,1,30.0,0,0,695,3,1
292,1184,3,0,30.272590361445783,0,0,72292,2,0
293,1185,1,0,53.0,1,1,818583,1,0
294,1186,3,0,36.0,0,0,95,1,0
295,1187,3,0,26.0,0,0,78958,1,0
296,1188,2,1,1.0,1,2,415792,2,1
297,1189,3,0,30.272590361445783,2,0,216792,2,0
298,1190,1,0,30.0,0,0,455,1,0
299,1191,3,0,29.0,0,0,78542,1,0
300,1192,3,0,32.0,0,0,7775,1,0
301,1193,2,0,30.272590361445783,0,0,150458,2,0
302,1194,2,0,43.0,0,1,21,1,1
303,1195,3,0,24.0,0,0,86625,1,0
304,1196,3,1,30.272590361445783,0,0,775,3,1
305,1197,1,1,64.0,1,1,2655,1,1
306,1198,1,0,30.0,1,2,15155,1,1
307,1199,3,0,0.83,0,1,935,1,0
308,1200,1,0,55.0,1,1,935,1,0
309,1201,3,1,45.0,1,0,141083,1,0
310,1202,3,0,18.0,0,0,86625,1,0
311,1203,3,0,22.0,0,0,7225,2,0
312,1204,3,0,30.272590361445783,0,0,7575,1,0
313,1205,3,1,37.0,0,0,775,3,1
314,1206,1,1,55.0,0,0,1356333,2,1
315,1207,3,1,17.0,0,0,77333,3,1
316,1208,1,0,57.0,1,0,1465208,2,0
317,1209,2,0,19.0,0,0,105,1,0
318,1210,3,0,27.0,0,0,78542,1,0
319,1211,2,0,22.0,2,0,315,1,1
320,1212,3,0,26.0,0,0,7775,1,0
321,1213,3,0,25.0,0,0,72292,2,0
322,1214,2,0,26.0,0,0,13,1,0
323,1215,1,0,33.0,0,0,2655,1,0
324,1216,1,1,39.0,0,0,2113375,1,1
325,1217,3,0,23.0,0,0,705,1,0
326,1218,2,1,12.0,2,1,39,1,1
327,1219,1,0,46.0,0,0,792,2,0
328,1220,2,0,29.0,1,0,26,1,0
329,1221,2,0,21.0,0,0,13,1,0
330,1222,2,1,48.0,0,2,3675,1,1
331,1223,1,0,39.0,0,0,297,2,1
332,1224,3,0,30.272590361445783,0,0,7225,2,0
333,1225,3,1,19.0,1,1,157417,2,1
334,1226,3,0,27.0,0,0,78958,1,0
335,1227,1,0,30.0,0,0,26,1,0
336,1228,2,0,32.0,0,0,13,1,0
337,1229,3,0,39.0,0,2,72292,2,0
338,1230,2,0,25.0,0,0,315,1,1
339,1231,3,0,30.272590361445783,0,0,72292,2,0
340,1232,2,0,18.0,0,0,105,1,0
341,1233,3,0,32.0,0,0,75792,1,0
342,1234,3,0,30.272590361445783,1,9,6955,1,0
343,1235,1,1,58.0,0,1,5123292,2,1
344,1236,3,0,30.272590361445783,1,1,145,1,1
345,1237,3,1,16.0,0,0,765,1,1
346,1238,2,0,26.0,0,0,13,1,0
347,1239,3,1,38.0,0,0,72292,2,1
348,1240,2,0,24.0,0,0,135,1,0
349,1241,2,1,31.0,0,0,21,1,1
350,1242,1,1,45.0,0,1,633583,2,1
351,1243,2,0,25.0,0,0,105,1,0
352,1244,2,0,18.0,0,0,735,1,0
353,1245,2,0,49.0,1,2,65,1,1
354,1246,3,1,0.17,1,2,20575,1,1
355,1247,1,0,50.0,0,0,26,1,0
356,1248,1,1,59.0,2,0,514792,1,1
357,1249,3,0,30.272590361445783,0,0,78792,1,0
358,1250,3,0,30.272590361445783,0,0,775,3,0
359,1251,3,1,30.0,1,0,1555,1,1
360,1252,3,0,14.5,8,2,6955,1,0
361,1253,2,1,24.0,1,1,370042,2,1
362,1254,2,1,31.0,0,0,21,1,1
363,1255,3,0,27.0,0,0,86625,1,0
364,1256,1,1,25.0,1,0,554417,2,1
365,1257,3,1,30.272590361445783,1,9,6955,1,0
366,1258,3,0,30.272590361445783,1,0,144583,2,0
367,1259,3,1,22.0,0,0,396875,1,1
368,1260,1,1,45.0,0,1,594,2,1
369,1261,2,0,29.0,0,0,138583,2,0
370,1262,2,0,21.0,1,0,115,1,0
371,1263,1,1,31.0,0,0,1345,2,1
372,1264,1,0,49.0,0,0,0,1,0
373,1265,2,0,44.0,0,0,13,1,0
374,1266,1,1,54.0,1,1,818583,1,1
375,1267,1,1,45.0,0,0,262375,2,1
376,1268,3,1,22.0,2,0,86625,1,0
377,1269,2,0,21.0,0,0,115,1,0
378,1270,1,0,55.0,0,0,50,1,0
379,1271,3,0,5.0,4,2,313875,1,0
380,1272,3,0,30.272590361445783,0,0,775,3,0
381,1273,3,0,26.0,0,0,78792,3,0
382,1274,3,1,30.272590361445783,0,0,145,1,0
383,1275,3,1,19.0,1,0,161,1,0
384,1276,2,0,30.272590361445783,0,0,12875,1,1
385,1277,2,1,24.0,1,2,65,1,1
386,1278,3,0,24.0,0,0,7775,1,0
387,1279,2,0,57.0,0,0,13,1,0
388,1280,3,0,21.0,0,0,775,3,0
389,1281,3,0,6.0,3,1,21075,1,0
390,1282,1,0,23.0,0,0,935,1,0
391,1283,1,1,51.0,0,1,394,1,1
392,1284,3,0,13.0,0,2,2025,1,0
393,1285,2,0,47.0,0,0,105,1,0
394,1286,3,0,29.0,3,1,22025,1,0
395,1287,1,1,18.0,1,0,60,1,1
396,1288,3,0,24.0,0,0,725,3,0
397,1289,1,1,48.0,1,1,792,2,1
398,1290,3,0,22.0,0,0,7775,1,0
399,1291,3,0,31.0,0,0,77333,3,0
400,1292,1,1,30.0,0,0,1648667,1,1
401,1293,2,0,38.0,1,0,21,1,0
402,1294,1,1,22.0,0,1,594,2,1
403,1295,1,0,17.0,0,0,471,1,0
404,1296,1,0,43.0,1,0,277208,2,0
405,1297,2,0,20.0,0,0,138625,2,0
406,1298,2,0,23.0,1,0,105,1,0
407,1299,1,0,50.0,1,1,2115,2,0
408,1300,3,1,30.272590361445783,0,0,77208,3,1
409,1301,3,1,3.0,1,1,13775,1,1
410,1302,3,1,30.272590361445783,0,0,775,3,1
411,1303,1,1,37.0,1,0,90,3,1
412,1304,3,1,28.0,0,0,7775,1,0
413,1305,3,0,30.272590361445783,0,0,805,1,0
414,1306,1,1,39.0,0,0,1089,2,1
415,1307,3,0,38.5,0,0,725,1,0
416,1308,3,0,30.272590361445783,0,0,805,1,0
417,1309,3,0,30.272590361445783,1,1,223583,2,1
